This list contains all games supported by FinalBurn Neo.

24323 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

+---------------------------------+--------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------+-------------+-----------------------------------------------------------------+--------------------------------+-----------------------------------------------------------------------------------+
| name                            | status | full name                                                                                                                                                              | parent                     | year        | company                                                         | hardware                       | remarks                                                                           |
| spec_galactians                 |        | We Are the Galactians (16K)                                                                                                                                            |                            | 1983        | DK'Tronics                                                      | ZX Spectrum                    |                                                                                   |
| snes_werebackdinos              |        | We're Back! - A Dinosaur's Story (USA)                                                                                                                                 |                            | 1993        | Hi Tech Expressions                                             | SNES / Super Famicom           |                                                                                   |
| md_weaponld                     |        | Weaponlord (USA)                                                                                                                                                       |                            | 1995        | Namco                                                           | Genesis / Mega Drive           |                                                                                   |
| snes_weaponlord                 |        | WeaponLord (USA)                                                                                                                                                       |                            | 1995        | Namco                                                           | SNES / Super Famicom           |                                                                                   |
| spec_weclemans                  |        | WEC Le Mans (48K-128K)                                                                                                                                                 |                            | 1988-89     | Imagine Software                                                | ZX Spectrum                    |                                                                                   |
| msx_wecleman                    |        | WEC Le Mans (Euro)                                                                                                                                                     |                            | 1988        | Imagine Software                                                | MSX                            |                                                                                   |
| weclemanc                       |        | WEC Le Mans 24 (v1.26)                                                                                                                                                 | wecleman                   | 1986        | Konami                                                          | Miscellaneous                  |                                                                                   |
| weclemana                       |        | WEC Le Mans 24 (v2.00)                                                                                                                                                 | wecleman                   | 1986        | Konami                                                          | Miscellaneous                  |                                                                                   |
| weclemanb                       |        | WEC Le Mans 24 (v2.00, hack)                                                                                                                                           | wecleman                   | 1988        | hack                                                            | Miscellaneous                  |                                                                                   |
| wecleman                        |        | WEC Le Mans 24 (v2.01)                                                                                                                                                 |                            | 1986        | Konami                                                          | Miscellaneous                  |                                                                                   |
| msx_wbells                      |        | Wedding Bells (Japan)                                                                                                                                                  |                            | 1984        | Nippon Columbia                                                 | MSX                            |                                                                                   |
| msx_wbellsa                     |        | Wedding Bells (Japan, Alt)                                                                                                                                             | msx_wbells                 | 1984        | Nippon Columbia                                                 | MSX                            |                                                                                   |
| snes_weddpeachj                 |        | Wedding Peach (Japan)                                                                                                                                                  |                            | 1995        | KSS                                                             | SNES / Super Famicom           |                                                                                   |
| nes_weedstiff2                  |        | Weed N' Stiff 2 Bobsons Revenge (HB)                                                                                                                                   |                            | 2021        | CalGames                                                        | NES / Famicom                  |                                                                                   |
| sms_wekainvaders                |        | Weka Invaders (HB)                                                                                                                                                     |                            | 2017        | Disjointed Studio                                               | Sega Master System             |                                                                                   |
| spec_welchutown128              |        | Welcome to Chump Town (128K) (HB, P1)                                                                                                                                  |                            | 2025        | KTB                                                             | ZX Spectrum                    |                                                                                   |
| spec_welchutown48               |        | Welcome to Chump Town (48K) (HB, P1)                                                                                                                                   | spec_welchutown128         | 2025        | KTB                                                             | ZX Spectrum                    |                                                                                   |
| spec_wellsfargo                 |        | Wells & Fargo (Spanish) (48K)                                                                                                                                          |                            | 1988        | Topo Soft                                                       | ZX Spectrum                    |                                                                                   |
| welltrisj                       |        | Welltris (Japan, 2 players)                                                                                                                                            | welltris                   | 1991        | Video System Co.                                                | Miscellaneous                  |                                                                                   |
| welltris                        |        | Welltris (World?, 2 players)                                                                                                                                           |                            | 1991        | Video System Co.                                                | Miscellaneous                  |                                                                                   |
| chf_werbetxt                    |        | Werbetextcassette                                                                                                                                                      |                            | 198?        | Electronic-Partner                                              | Channel F                      |                                                                                   |
| nes_werew                       |        | Werewolf: The Last Warrior (USA)                                                                                                                                       |                            | 1990        | Data East                                                       | NES / Famicom                  |                                                                                   |
| spec_werewolves                 |        | Werewolves of London (48K)                                                                                                                                             |                            | 1989        | Mastertronic                                                    | ZX Spectrum                    | O/P: select icon - H: pause - R: restart                                          |
| spec_westbank                   |        | West Bank (48K)                                                                                                                                                        |                            | 1985        | Gremlin Graphics                                                | ZX Spectrum                    | Keys 1, 2 and 3 to shoot - Keys O and P to move                                   |
| weststry                        | D NW   | West Story (bootleg of Blood Bros., set 1)                                                                                                                             | bloodbro                   | 1990        | bootleg (Datsu)                                                 | Miscellaneous                  |                                                                                   |
| weststrya                       | D NW   | West Story (bootleg of Blood Bros., set 2)                                                                                                                             | bloodbro                   | 1990        | bootleg (Datsu)                                                 | Miscellaneous                  |                                                                                   |
| msx_westhouse                   |        | Westen House (English) (HB, v1.3.1)                                                                                                                                    |                            | 2021        | Brain Games                                                     | MSX                            |                                                                                   |
| msx_westhousep                  |        | Westen House (Portuguese) (HB, v1.3.1)                                                                                                                                 | msx_westhouse              | 2021        | Brain Games                                                     | MSX                            |                                                                                   |
| msx_westhouses                  |        | Westen House (Spanish) (HB, v1.3.1)                                                                                                                                    | msx_westhouse              | 2021        | Brain Games                                                     | MSX                            |                                                                                   |
| wexpressb1                      |        | Western Express (bootleg set 1)                                                                                                                                        | exprraid                   | 1986        | bootleg                                                         | Miscellaneous                  |                                                                                   |
| wexpressb2                      |        | Western Express (bootleg set 2)                                                                                                                                        | exprraid                   | 1986        | bootleg                                                         | Miscellaneous                  |                                                                                   |
| wexpressb3                      |        | Western Express (bootleg set 3)                                                                                                                                        | exprraid                   | 1986        | bootleg                                                         | Miscellaneous                  |                                                                                   |
| wexpress                        |        | Western Express (Japan, rev 4)                                                                                                                                         | exprraid                   | 1986        | Data East Corporation                                           | Miscellaneous                  |                                                                                   |
| nes_westkids                    |        | Western Kids (Japan)                                                                                                                                                   | nes_cowboykid              | 1991        | Visco Corp.                                                     | NES / Famicom                  |                                                                                   |
| cv_wsbyrons                     |        | Whack 'Em Smack 'Em Byrons (HB)                                                                                                                                        |                            | 2024        | Jess Creations                                                  | ColecoVision                   |                                                                                   |
| msx_wsbyrons                    |        | Whack 'Em Smack 'Em Byrons (HB)                                                                                                                                        |                            | 2024        | Jess Creations                                                  | MSX                            |                                                                                   |
| sg1k_wsbyrons                   |        | Whack 'Em Smack 'Em Byrons (HB)                                                                                                                                        |                            | 2024        | Jess Creations - ArugulaZ                                       | Sega SG-1000                   |                                                                                   |
| sms_wsbyronsr                   |        | Whack 'Em Smack 'Em Byrons Remarked (HB)                                                                                                                               |                            | 2025        | ArugulaZ                                                        | Sega Master System             |                                                                                   |
| nes_whatremains                 |        | What Remains (HB, v1.0.2)                                                                                                                                              |                            | 2019-20     | Iodine Dynamics                                                 | NES / Famicom                  |                                                                                   |
| spec_whb                        |        | WHB (128K) (HB)                                                                                                                                                        |                            | 2009        | Bob Smith                                                       | ZX Spectrum                    |                                                                                   |
| wfortune                        |        | Wheel Of Fortune (set 1)                                                                                                                                               |                            | 1989        | GameTek                                                         | Miscellaneous                  |                                                                                   |
| wfortunea                       |        | Wheel Of Fortune (set 2)                                                                                                                                               | wfortune                   | 1989        | GameTek                                                         | Miscellaneous                  |                                                                                   |
| gg_wheelof                      |        | Wheel of Fortune (USA)                                                                                                                                                 |                            | 1992        | GameTek                                                         | Sega Game Gear                 |                                                                                   |
| md_wheelfor                     |        | Wheel of Fortune (USA)                                                                                                                                                 |                            | 1992        | GameTek                                                         | Genesis / Mega Drive           |                                                                                   |
| snes_wheelfortune               |        | Wheel of Fortune (USA)                                                                                                                                                 |                            | 1992        | GameTek                                                         | SNES / Super Famicom           |                                                                                   |
| snes_wheelfortunedeluxe         |        | Wheel of Fortune - Deluxe Edition (USA)                                                                                                                                |                            | 1993        | GameTek                                                         | SNES / Super Famicom           |                                                                                   |
| wheelrun                        |        | Wheels Runner                                                                                                                                                          |                            | 19??        | International Games                                             | Miscellaneous                  |                                                                                   |
| snes_carmenworld                |        | Where in the World Is Carmen Sandiego (USA)                                                                                                                            |                            | 1993        | Hi Tech Expressions                                             | SNES / Super Famicom           |                                                                                   |
| md_carmnwldb                    |        | Where in the World Is Carmen Sandiego? (Brazil)                                                                                                                        | md_carmnwld                | 199?        | Tec Toy                                                         | Genesis / Mega Drive           |                                                                                   |
| sms_carmnwldb                   |        | Where in the World is Carmen Sandiego? (Brazil)                                                                                                                        | sms_carmnwld               | 1989        | Tec Toy                                                         | Sega Master System             |                                                                                   |
| md_carmnwld                     |        | Where in the World Is Carmen Sandiego? (Euro, USA)                                                                                                                     |                            | 1992        | Electronic Arts                                                 | Genesis / Mega Drive           |                                                                                   |
| sms_carmnwld                    |        | Where in the World is Carmen Sandiego? (USA)                                                                                                                           |                            | 1989        | Parker Brothers                                                 | Sega Master System             |                                                                                   |
| nes_whereintimiscasa            |        | Where in Time is Carmen Sandiego (USA)                                                                                                                                 |                            | 1991        | Konami                                                          | NES / Famicom                  |                                                                                   |
| snes_carmentime                 |        | Where in Time Is Carmen Sandiego (USA)                                                                                                                                 |                            | 1992        | Hi Tech Expressions                                             | SNES / Super Famicom           |                                                                                   |
| md_carmntimb                    |        | Where in Time Is Carmen Sandiego? (Brazil)                                                                                                                             | md_carmntim                | 199?        | Tec Toy                                                         | Genesis / Mega Drive           |                                                                                   |
| md_carmntim                     |        | Where in Time Is Carmen Sandiego? (Euro, USA)                                                                                                                          |                            | 1992        | Electronic Arts                                                 | Genesis / Mega Drive           |                                                                                   |
| msx_whereisit                   |        | Where Is it - The Quest For the 10th Island (HB)                                                                                                                       |                            | 2021        | Eric Mendel                                                     | MSX                            |                                                                                   |
| sms_whereisite                  |        | Where Is It ? The Quest for the 10th Island (HB, Enhanced Version)                                                                                                     |                            | 2023        | Ricco59, Kagesan                                                | Sega Master System             |                                                                                   |
| sms_whereisit                   |        | Where Is It ? The Quest for the 10th Island (HB, Ultimate Version)                                                                                                     | sms_whereisite             | 2023        | Ricco59                                                         | Sega Master System             |                                                                                   |
| sms_whereisitxm24               |        | Where Is It ? XMAS 2024 Edition (HB)                                                                                                                                   | sms_whereisite             | 2024        | Ricco59                                                         | Sega Master System             |                                                                                   |
| spec_wheretimestoodstill        |        | Where Time Stood Still (128K)                                                                                                                                          |                            | 1988        | Ocean Software                                                  | ZX Spectrum                    |                                                                                   |
| nes_whereswaldo                 |        | Where's Waldo (USA)                                                                                                                                                    |                            | 1991        | THQ Inc.                                                        | NES / Famicom                  |                                                                                   |
| md_whiprushs                    |        | Whip Rush (Hack, Spanish)                                                                                                                                              | md_whiprush                | 2020        | Wave                                                            | Genesis / Mega Drive           |                                                                                   |
| md_whiprush                     |        | Whip Rush (USA)                                                                                                                                                        |                            | 1990        | Renovation                                                      | Genesis / Mega Drive           |                                                                                   |
| md_whiprushj                    |        | Whip Rush - Wakusei Voltegas no Nazo (Japan)                                                                                                                           | md_whiprush                | 1990        | Sega                                                            | Genesis / Mega Drive           |                                                                                   |
| snes_whirlo                     |        | Whirlo (Euro)                                                                                                                                                          |                            | 1992        | Namco                                                           | SNES / Super Famicom           |                                                                                   |
| spec_whiteheat                  |        | White Heat (48K)                                                                                                                                                       |                            | 1987        | Codemasters                                                     | ZX Spectrum                    |                                                                                   |
| spec_whitejaguar                |        | White Jaguar (128K) (HB)                                                                                                                                               | spec_whitejaguarzx         | 2020        | Romancha                                                        | ZX Spectrum                    |                                                                                   |
| spec_whitejaguarzx              |        | White Jaguar (128K) (HB, v1.3)                                                                                                                                         |                            | 2023        | ZX-Online - Romancha                                            | ZX Spectrum                    |                                                                                   |
| nes_whitelion                   |        | White Lion Densetsu: Pyramid no Kanata ni (Japan)                                                                                                                      | nes_ghostlion              | 1989        | Kemco - Tohotowa                                                | NES / Famicom                  |                                                                                   |
| snes_whizz                      |        | Whizz (USA)                                                                                                                                                            |                            | 1996        | Titus                                                           | SNES / Super Famicom           |                                                                                   |
| whizz                           |        | Whizz                                                                                                                                                                  | twinfalc                   | 1989        | Philko                                                          | Miscellaneous                  |                                                                                   |
| spec_whodareswinsii             |        | Who Dares Wins II (48K)                                                                                                                                                |                            | 1986        | Alligata Software                                               | ZX Spectrum                    |                                                                                   |
| msx_whodares                    |        | Who Dares Wins II (Euro)                                                                                                                                               |                            | 1986        | Alligata Software                                               | MSX                            | Press SPACE to skip loading screens                                               |
| whodunit8                       |        | Who Dunit (version 8.0)                                                                                                                                                | whodunit                   | 1988        | Exidy                                                           | Miscellaneous                  |                                                                                   |
| whodunit                        |        | Who Dunit (version 9.0)                                                                                                                                                |                            | 1988        | Exidy                                                           | Miscellaneous                  |                                                                                   |
| nes_whofrarograb                |        | Who Framed Roger Rabbit (USA)                                                                                                                                          |                            | 1989        | Ljn                                                             | NES / Famicom                  |                                                                                   |
| nes_whofrarograbre              |        | Who Framed Roger Rabbit - Reframed (Hack)                                                                                                                              | nes_whofrarograb           | 2024        | Lemmarx163                                                      | NES / Famicom                  |                                                                                   |
| nes_whompem                     |        | Whomp 'Em (USA)                                                                                                                                                        |                            | 1991        | Jaleco                                                          | NES / Famicom                  |                                                                                   |
| msx_whopper                     |        | Whopper Chase (Euro, Spanish)                                                                                                                                          |                            | 1987        | Erbe Software                                                   | MSX                            |                                                                                   |
| spec_whopchase                  |        | Whopper Chase (Spanish) (48K)                                                                                                                                          |                            | 1987        | Erbe Software                                                   | ZX Spectrum                    |                                                                                   |
| nes_widget                      |        | Widget (USA)                                                                                                                                                           |                            | 1992        | Atlus Co.                                                       | NES / Famicom                  |                                                                                   |
| wiggie                          |        | Wiggie Waggie                                                                                                                                                          |                            | 1994        | Promat                                                          | Seta                           |                                                                                   |
| spec_wiking48                   |        | Wiking (Polish) (48K)                                                                                                                                                  |                            | 1987        | M.K.                                                            | ZX Spectrum                    |                                                                                   |
| spec_wiking128                  |        | Wiking - Improved Version (Polish) (128K) (Hack)                                                                                                                       | spec_wiking48              | 2015        | Slider, Tiboh                                                   | ZX Spectrum                    | NB: SounDrive/Covox SFX not supported                                             |
| msx_wildcat                     |        | Wild Cat (Japan)                                                                                                                                                       |                            | 1984        | Colpax                                                          | MSX                            |                                                                                   |
| wildfangh                       |        | Wild Fang (1991 year hack)                                                                                                                                             | wildfang                   | 1991        | Tecmo                                                           | Miscellaneous                  |                                                                                   |
| wildfangs                       |        | Wild Fang (Japan)                                                                                                                                                      | wildfang                   | 1989        | Tecmo                                                           | Miscellaneous                  |                                                                                   |
| wildfang                        |        | Wild Fang / Tecmo Knight (World?)                                                                                                                                      |                            | 1989        | Tecmo                                                           | Miscellaneous                  |                                                                                   |
| nes_wildgunman                  |        | Wild Gunman (World, Rev. A)                                                                                                                                            |                            | 1984        | Nintendo                                                        | NES / Famicom                  | Zapper compatible game                                                            |
| snes_wildgunse                  |        | Wild Guns (Euro)                                                                                                                                                       | snes_wildguns              | 1995        | Titus - Natsume                                                 | SNES / Super Famicom           |                                                                                   |
| snes_wildgunsj                  |        | Wild Guns (Japan)                                                                                                                                                      | snes_wildguns              | 1994        | Natsume                                                         | SNES / Super Famicom           |                                                                                   |
| snes_wildguns                   |        | Wild Guns (USA)                                                                                                                                                        |                            | 1994        | Natsume                                                         | SNES / Super Famicom           |                                                                                   |
| wildplt                         |        | Wild Pilot                                                                                                                                                             |                            | 1992        | Jaleco                                                          | Miscellaneous                  |                                                                                   |
| md_wildsnak                     |        | Wild Snake (USA, Prototype)                                                                                                                                            |                            | 1994        | Bullet-Proof Software                                           | Genesis / Mega Drive           |                                                                                   |
| moomesabl                       | D NW   | Wild West C.O.W.-Boys of Moo Mesa (bootleg)                                                                                                                            | moomesa                    | 1992        | bootleg                                                         | GX151                          |                                                                                   |
| moomesaaab                      |        | Wild West C.O.W.-Boys of Moo Mesa (ver AAB)                                                                                                                            | moomesa                    | 1992        | Konami                                                          | GX151                          |                                                                                   |
| moomesa                         |        | Wild West C.O.W.-Boys of Moo Mesa (ver EAB)                                                                                                                            |                            | 1992        | Konami                                                          | GX151                          |                                                                                   |
| moomesauab                      |        | Wild West C.O.W.-Boys of Moo Mesa (ver UAB)                                                                                                                            | moomesa                    | 1992        | Konami                                                          | GX151                          |                                                                                   |
| moomesauac                      |        | Wild West C.O.W.-Boys of Moo Mesa (ver UAC)                                                                                                                            | moomesa                    | 1992        | Konami                                                          | GX151                          |                                                                                   |
| spec_wwhero                     |        | Wild West Hero (48K)                                                                                                                                                   |                            | 1983        | Timescape                                                       | ZX Spectrum                    |                                                                                   |
| spec_wwseymr                    |        | Wild West Seymour (128K)                                                                                                                                               |                            | 1992        | Codemasters                                                     | ZX Spectrum                    |                                                                                   |
| spec_wwseymr_48                 |        | Wild West Seymour (48K)                                                                                                                                                | spec_wwseymr               | 1992        | Codemasters                                                     | ZX Spectrum                    |                                                                                   |
